CName,EName,CToldescribe,EToldescribe,CoastalActivities,Amenities,Px,Py,Tel,CAdd,EAdd,Opentime,OpenremarkC,OpenremarkE,Picture1,Picdescribe1C,Picdescribe1E,Picture2,Picdescribe2C,Picdescribe2E,Website,Ticketinfo,Remarks,Facebook,Twitter,Video,MapLink,Changtime
芹壁聚落 ,Qinbi Village ,媲美地中海風情的最美石頭屋聚落 想要看地中海美景，不用千里迢迢飛到國外去，來馬祖北竿就可以看到媲美歐洲石頭山城的浪漫風情！芹壁是馬祖列島中保存馬祖傳統閩東建築最完整、也最具代表性的地方之一，深受國內外建築、文化和藝術界的青睞。早年村民以捕蝦皮為生，70年代漁業沒落，居民大多外遷謀生，原本因人口外移而留下的空屋群，在政府有計畫的修繕下，轉變為民宿以及藝文空間等，讓一座座石頭屋回復昔日多樣化的風貌，穿梭在蜿蜒的山城中，不難發現房屋上斑駁褪色的各種特色標語，彷彿墜入了時光迴廊，如今遊客看在眼裡，不由得莞爾一笑。  倚著山壁建造的芹壁聚落，背山面海，依山勢呈階梯狀排列，層層相疊、錯落有致，主要分成北面山、南面山、中路等區，清末時期為福建長樂鶴上陳氏家族開發，屋舍多為當地花崗石建築，其間工法最細緻的一棟民宅，為戰爭時期「和平救國軍」北竿部隊主任陳忠平所築建的「海盜屋」，除了門面立牆採用高級的青白石，也是芹壁村唯一一棟屋頂刻有石獅的房屋，再加上地勢居高臨下，十分氣派。  漫步在石頭屋的巷弄間，隨處都能看見蔚藍海洋，每轉個彎都頗有柳暗花明又一村之感、各自精采，不妨挑間咖啡廳，凝望海洋與島嶼，伴隨陣陣浪濤聲，享受眼前的愜意美好。  青蛙神信仰 守護芹壁的鐵甲元帥 沿著山勢而行，沿途除了欣賞海天一色，還能感受在地獨特宗教信仰－隨處可見青蛙神的蹤跡。其實青蛙神是芹壁村的守護神，居民尊稱其為鐵甲元帥，早年從閩東移居馬祖時，也把動物信仰帶入當地，至今居民仍不時會到天后宮尋求蛙神指示或祈福。  微醺難忘的好滋味 來碗熱呼呼的老酒麵線 秋冬遊馬祖，不可不吃老酒麵線！老酒湯頭結合爽口麵線，搭配紅糟肉、煎蛋、麻油炒過的食材，配料簡單卻有細緻湯頭，令人銷魂的美味酒香麵線，到芹壁絕對不能錯過。,"The Mediterranean Sea in Taiwan: Qinbi, a village of stone houses Qinbi has the most well preserved traditional “Mindong” buildings. Developed along steep hills, the village boasts plenty of old houses built with granite stones. In early days, the villagers made a living on catching shrimps. With time, many moved out and lots of houses became empty. Through systematic refurbishment, today, the houses serve as B&B and arts and cultural spaces, regaining their old-time charm. Why not meander through this hillside village and appreciate the interesting wartime slogans posted on house walls - what a trip back to the past.  The fog belief: “General Iron Shield” which protects Qinbi Walking up the hill, visitors may find the special “Frog God” here and there, other than the vast blue sky and the sea. Frog God is Qinbi’s guardian angel, and the locals respectfully call it General Iron Shield. The early settlers introduced animal beliefs to Matsu when they left Mindong. Today, villagers still go to Tianhou Temple to see instructions and blessings from the Frog God.",1、18、26,2、5、12、15,119.982994,26.224945,0836-56531,連江縣北竿鄉芹壁村,"Qinbi Village, Beigan Township, Lienchiang County ",00:00-24:00,每日開放,Open daily,https://www.matsu-nsa.gov.tw/Attraction-Content.aspx?a=2711&l=1,芹壁聚落,,,,,https://www.matsu-nsa.gov.tw/Attraction-Content.aspx?a=2711&l=1,,,,,,,2020-12-22
坂里沙灘,Banli Beach ,閃耀著白色光芒的細軟沙灘 平直的海岸、細軟的沙灘，對於多岩灘的馬祖而言，坂里的一片白色沙灘特別顯得珍貴。坂里沙灘是一處開口東南向的灣澳，每年夏天都會受到季風的吹襲，再加上洋流夾帶而來的泥沙，日積月累形成一大片平坦的沙灘，橫臥在藍天碧海之中。  由芹山、坂山、里山圍繞的坂里沙灘是馬祖最平整、最廣闊的優質沙灘，與午沙沙灘相連成一片綿延的海岸線，中間設有木棧道連結，因砂質含有石英成分，當陽光照射時，整片沙灘會閃耀著白色內斂的光芒，不管是看日出，或是觀夕陽，坂里沙灘都能讓人體驗光影雲彩變幻之美。  層層蕩漾的海浪輕拂著沙灘，適合戲水踏浪，也漸漸成為居民、遊客漫步或欣賞海景的好去處；這樣美麗夢幻的一片沙灘，就位在北竿遊客中心後面，如果有來遊客中心一趟，不妨順道走訪綿延的金黃沙岸，踩踩沁涼海水、散心賞海景。  小巧多彩坂里天后宮  麻雀雖小五臟俱全 坂里沙灘往白沙港方向的不遠處，有間堪稱全世界最小、最迷你的媽祖天后宮，色彩豐富鮮艷的建築外觀常常吸引過路人目光，和當地樸實無華的民宅形成強烈對比。廟前有兩個可愛的石獅子，廟簷有千里眼及順風耳，雖然只是海邊一間小小廟宇，卻帶給遊客大大驚喜，是寬闊海灘風景中的視覺重點，經過此地時也前往祈福求個平安吧！,"A beach with soft, glowing white sands Banli Beach rests by a bay, facing the southeast. Every summer, it gets hit by monsoons. Plus the mud and sands brought by ocean currents, with time, this vast, flat beach takes shape, between the sky and the ocean.  Banli Beach is surrounded by Qinshan, Banshan, and Lishan. It is Matsu’s most flat and open beach. Together, Banli Beach and Wusha Beach form an extensive coastline. Between the two beaches are wooded paths which visitors can walk on. The white quartz sands shine gracefully on sunny days.  Small and colorful, Banli’s Tianhou Temple is well equipped Not far from Banli Beach towards Baisha Harbor, the world’s smallest temple worshipping Goddess Mazu can be found. The colorful religious architecture draws the attention of many. Why not invoke some blessings at the temple if you drop by!",26、28,1、2、3、4、5、6、8、11、12、14、15,119.974834,26.214073,0836-56531,連江縣北竿鄉坂里村94號,"Banli village, Beigan Township, Lienchiang County 210",00:00-24:00,每日開放,Open daily,https://www.matsu-nsa.gov.tw/Attraction-Content.aspx?a=2658&l=1,坂里沙灘與坂里天后宮,,,,,https://www.matsu-nsa.gov.tw/Attraction-Content.aspx?a=2658&l=1,,,,,,,2020-12-22
塘后道沙灘 ,Tanghoudao Beach ,塘后道沙灘位於北竿機場旁，原本是連結塘岐村、后澳村之間的連島沙洲，由於沙質相當細緻潔白，因而被譽為「糖沙」，周圍廣闊、長數百公尺的沙灘，就像海中平原，漲潮時，沙灘被海水淹沒，只見一條小徑露出；退潮時，兩側沙灘會逐漸裸露，潮來路隱，潮去灘顯，是相當罕見的地形。但因建設北竿機場、為方便交通連結之故，在沙洲中間築起一條道路，將沙灘一分為二，「沙連島」的奇景不再。  如今漫步其中，除了感受腳下的細沙與冰涼的海水，還能超近距離看到飛機起降，是世界少有的機場景緻，值得在等待登機時，把握最後時間前往。  近距離欣賞夢幻藍眼淚 北竿代表淚點之一 每年3-9月是馬祖藍眼淚觀賞期，當海浪拍打上岸，藍色螢光在浪間閃閃發亮，此番美景令人著迷，伴隨著浪花漫步沙灘上，就能看到藍色流光圍繞在腳邊閃閃發亮，想要欣賞美麗的藍眼淚，可要把握住時間喔！,"Situated by Beigan Airport, Tanghoudao Beach used to be a sandbank connecting Tangqi and Hou’ao Villages. The vast beach extends as far as a few hundred meters like a plateau by the sea, and its sands are so soft and fine that they are hailed as “sugar sands.” The road in the middle was built to facilitate transport to the airport, and it divides the beach into two halves. Visitors can watch airplanes taking off and landing at a super close distance if they take a walk along this path. What a rare view to enjoy in the world!  Appreciating Blue Tears at a close distance - Tanghoudao Beach as an iconic observing spot The famous Blue Tears can be appreciated every year from March to September. Whenever ocean waves hits the shores, the algae can be found glowing amongst them. Take a walk at the beach and you may find the blue glowing creatures by your feet.",26,12,120.00443,26.222795,0836-56531,連江縣北竿鄉塘後道沙灘 ,"Tanghoudao Beach, Beigan Township, Lienchiang County",00:00-24:00,每日開放,Open daily,https://www.matsu-nsa.gov.tw/Attraction-Content.aspx?a=2714&l=1,北竿塘后道沙灘,,,,,https://www.matsu-nsa.gov.tw/Attraction-Content.aspx?a=2714&l=1,,,,,,,2020-12-22
鐵堡,Iron Fort (Tiebao) ,想要深度體驗馬祖戰地風情，一定要將鐵堡納入旅遊路線中！來到仁愛村鐵板海邊上的獨立岩礁，隨即可以感受到戰地的肅殺氣氛，因此處地形險要、便於觀測海面動靜，早年曾被闢為軍事據點，由一班最精銳的兩棲蛙人部隊日夜戍守西側海岸線，更因防禦工事需要，將岩礁內部鑿空，上面覆以水泥掩體，粉刷迷彩漆料，並設置草綠色防護網架，甚至在岸邊崖壁上插滿了防止水鬼摸哨、突擊的碎玻璃與鐵條，佇立於浪濤中。  水泥步道下的鐵堡內部是挖空的坑道，堅硬的花崗岩壁鑿痕歷歷，通道兩側可以看見昔日的地下石室、射口、砲台、房間、廁所及廚房等空間井然羅列，麻雀雖小，五臟俱全，過去由於鐵堡位處偏僻，還配置軍犬防衛，是當時防區唯一有軍階的軍犬，循著坑道登上頂端，海面動靜一覽無遺，也能看到軍犬的圈養住所。時至今日，硝煙遠離，小小的岩礁，曾是海防要塞，處處透露「鐵血剽悍、海上堡壘」的氣魄。,"To immerse in Matsu’s war-time charm, be sure to include Iron Fort into your itinerary. Standing on this big reef rock in Tieban, Renai Village and you shall feel the area’s solemn atmosphere. Since the area is crooked and convenient for observing the sea, in early years, it was used as a military stronghold. The army dug a hole inside the rock and covered it with universal camouflage paint. Grass-green protective grids were set. Glass shreds and iron bars were also established along the coasts and waves to keep Chinese soldiers from approaching.  There are tunnels beneath the cement paths, making Iron Fort a highly functional military establishment although it is small. Today, there is no war anymore, but an old military site like this still indicates the toughness of Taiwan’s marine corps in early days.",,12、15,119.920685,26.141351,0836-25630,連江縣南竿鄉津板路鐵堡,"Iron Fort (Tiebao), Nangan Township, Lienchiang County,  ",00:00-24:00,每日開放，夜晚燈光較暗請注意安全,"Open daily(all lights go off when the site is closed. Thus, please abide by visitor rules and stay safe)",https://www.matsu-nsa.gov.tw/Attraction-Content.aspx?a=2738&l=1,鐵堡,,,,,https://www.matsu-nsa.gov.tw/Attraction-Content.aspx?a=2738&l=1,,,,,,,2020-12-22
南竿北海坑道 ,Beihai Tunnel (Nangan) ,人工開鑿鬼斧神工之作 1968年，為戰略需要而開始的「北海計畫」在馬祖地區開鑿了不少「地下碼頭」，專供游擊戰艇停泊使用，如今在軍方釋出之後，成為馬祖地區特殊的「戰地景觀」，若無造訪北海坑道，便如同沒來過馬祖。  北海坑道位處鐵板海岸線，為一深入山腹，貫穿岩壁，呈「井」字形交錯的水道，水道高18公尺，寬10公尺，長640公尺，漲潮時水位達8公尺，退潮時為4公尺，步道全長700公尺，走完一圈約需30分鐘，但要配合潮汐的漲退，在退潮時才能進入。  這座可供百餘艘登陸小艇使用的地底坑道，當年被視為高難度的工程，共出動2個師、3個步兵營、1個工兵營以及1個傾卸車連混合編為3組，不分晝夜輪流施工，歷經820個工作天才完成。當時由於施工設備簡陋，除了用炸藥爆破外，全靠人力一鑿一斧挖掘花崗岩壁而成，不少官兵因而犧牲，工程之艱鉅、氣勢之壯闊，堪稱鬼斧神工之作。在過去戰雲密佈的年代，北海坑道曾經試圖要扮演著地下碼頭的運補功能；今日當人們走進深邃的坑道中，一幕幕雄偉壯闊的岩壁、幽暗浮動的倒影，都讓遊客不自覺地發出陣陣讚嘆。  備註：開放遊客參觀，但白天時需配合潮汐的漲退，才能進入參觀活動，請遊客注意潮差時間！  夜間搖櫓 看藍眼淚的好去處 近年來，由於「藍眼淚」的發現，再加上據點坑道口少有光害，南竿藍眼淚的追淚熱點之一就在北海坑道，搭乘搖櫓船，慢慢搖入坑道內，尋覓散發細微光芒的光暈，是值得一探的體驗。,"For military needs, in early days, plenty of underground piers were built in Matsu for guerilla boats to use. Today, since the army provides the access to the piers to the public, these facilities become unique war-time sites.  Beihai Tunnel, situated by Tieban coasts, is a grid-structured waterway that goes deep into the mountains. Crossing through the rocks, it is 18 meters tall, 10 meters wide, and 640 meters long. In high tidal hours, the water goes up to 8 meters tall, and in low tidal hours, it dwindles to 4 meters low. The tourist path along the tunnel is 700 meters long. A round trip takes about 30 minutes.
A good place to watch the Blue Tears on a boat
In recent years, the tunnel has served as an ideal place for watching the Blue Tears, since the area has barely any light pollution at all. Take a rowboat into the tunnel and look for those subtle glows. What a worthy experience.",1,1、2、3、4、5、6、8、14、15,119.928971,26.142313,0836-22177,連江縣南竿鄉仁愛村95-1號,"No.95-1, Renai village, Nangan township",08:30-17:00,每日開放滿潮時坑道封閉,"Open daily, but tunnel closed when the high tide",https://www.matsu-nsa.gov.tw/Attraction-Content.aspx?a=2742&l=1,南竿北海坑道,,,,,https://www.matsu-nsa.gov.tw/Attraction-Content.aspx?a=2742&l=1,,,,,,,2020-12-22
大漢據點,Dahan Stronghold,緊扼海疆大漢天威 南竿遊客中心附近沿著步道行走，來到位於南竿南方鐵板海岸線上的大漢據點，與莒光島、33、46等據點控鎖著鐵板及梅石澳，形成嚴密封鎖網，控制莒光方向水道，戰略地位相當重要。1975年，基於作戰任務需要，當時陸軍登步部隊官兵弟兄不分晝夜輪流施工，因當時設備簡陋，除用炸藥爆破外，其餘均靠人力一寸一土挖掘而成，於1976年3月29日竣工。  據點共分3層，最上層為軍方連部，第2層設有生活圈及預備機槍陣地，最下層設有4座90高砲陣地、簡報室、中山室、庫房、儲藏室等空間；坑道寬約1.5公尺，高約2公尺，主坑道長150公尺，支坑道長為80公尺，合計230公尺。  隨著戰爭情勢和緩，因具有觀光發展的價值，國軍便將大漢據點移交給馬管處，2006年整修完成。走入據點內，每一處槍口、砲口均面向海洋，充滿肅殺氣息，體現了國軍當年「緊扼海疆、大漢天威」之勢；遊客可從南竿遊客中心旁步道進入，繞過據點上方，天氣好時，可以清楚的看見莒光的輪廓。,"From Nangan Visitor Center, take its hiking path which leads to Dahan Stronghold on the southern Tieban coastline. The stronghold was fairly important strategically in war time. As Nangan became more peaceful, the army handed over the stronghold to Matsu National Scenic Area Administration, who later on turned it into a tourist destination. In 2006, refurbishment work was complete. The stronghold features plenty of small holes for guns and cannons to pop out and kill enemies on the sea. Again, it can be reached via the hiking trail beside Nangan Visitor Center. On a sunny day, one can enjoy views of Juguang Island from the stronghold.",26,1、2、3、4、8、11、12、15,119.929266,26.14069,0836-25630,連江縣南竿鄉仁愛村95-2號,"No.95-2, Renai village, Nangan township",08:00-17:00,每日開放,Open daily,https://www.matsu-nsa.gov.tw/Attraction-Content.aspx?a=2743&l=1,大漢據點,,,,,https://www.matsu-nsa.gov.tw/Attraction-Content.aspx?a=2743&l=1,,,,,,,2020-12-22
坤坵沙灘,Kunqiu Beach,坤坵沙灘位於西莒島西端，夕照奇美，是馬祖一絕，值得到此一訪人間海角的晚天嫣紅；潮水退去時，從坤坵沙灘延伸直達蛇山的沙地步道原蹤畢露，潮間帶生態十分豐富，是西莒人的「天然冰箱」。  除了沙灘美景之外，坤坵還有一條「坤坵步道」，是沿著山勢而建的木棧道，穿行於西路山的灌叢間，沿途可以欣賞馬祖的各式原生植物，途中涼亭視野極闊，是賞景的好地點，在這裡遠眺蛇山又是另一種風情。,"Kunqiu Beach is located at the western end of Xiju Island. It is beautiful in the sunset and is a must-see for Matsu. It is worth visiting the cape of the world in the evening. When the tide recedes, the sandy trail that extends from Kunqiu Beach to Snake Mountain is revealed. The belt is very rich in ecology and is the ""natural refrigerator"" of Xiju people.  In addition to the beauty of the beach, Kunqiu also has a ""Kunqiu Trail"", which is a wooden plank road built across the mountains, passing through the bushes of Xilu Mountain. Along the way, you can admire all kinds of native plants of Matsu. On the way, you can enjoy the pavilion It has a very wide view and is a good place to enjoy the scenery. It is another style to overlook the Snake Mountain here.",26、27,12,119.929892,25.973627,0836-89388,連江縣莒光鄉,"Juguang Township, Lienchiang County",00:00-24:00,每日開放,Open daily,https://www.matsu-nsa.gov.tw/Attraction-Content.aspx?a=2763&l=2,西莒坤坵,,,,,https://www.matsu-nsa.gov.tw/Attraction-Content.aspx?a=2763&l=2,,,,,,,2020-12-22
福正沙灘 ,Fuzheng Beach,順著福正聚落裡的小徑走向海邊，會發現一抹潔白正在海陸交界處，隨著海風浪潮流轉靜臥，那正是被村落圍繞的福正沙灘。這裡海水清澈見底，遊客除了能欣賞蔚藍海景，也是藍眼淚季節時，東莒島上的追淚點之一，運氣好時，夜晚能看見藍色光帶隨著海浪波動，熠熠生輝。  福正沙灘是馬祖少見的沙岸地質景觀，細軟潔白的沙粒，正是人們體驗踏浪採蛤的最佳所在，夏天到東莒，可以忘情的倘佯在沙灘上，少有人干擾的天然游泳池，是消暑及放鬆心情的好去處，任憑浪花拍打在腳上，再搭配一旁絕佳的聚落風情，無疑是人生一大享受。  我家的冰箱在海邊－海中尋寶 福正沙灘同時也是東莒三寶之一－花蛤的產地，也有豐富的蚵、佛手、蠑螺等，潮間帶生態相當豐富，走在礫石岩塊之中，石塊堆隱身著各種螺貝朋友，沒有污染的海邊，處處都是新鮮食材，甚至有著「東莒的冰箱」美稱。,"There is a small path in Fuzheng Village that leads to this beach. Water is crystal clear here, making the beach ideal for playing with waves and picking oysters. Other than watching a vast blue ocean, visitors can appreciate the Blue Tears here. Fuzheng Beach is a popular spot of Dongju Island for watching Blue Tears.  The ocean is my fridge - treasure hunt in the sea Fuzheng Beach is home to one of the “three treasures of Dongju” - Manila clams. Plenty of oysters, Japanese goose barnacles, and turban snails can also be found amid gravels and rocks, making the beach’s intertidal zone highly diverse. Unpolluted, the beach is full of fresh seafood to eat. Thus, it is hailed as “the fridge of Dongju.”",26、27,1、2、3、4、5、6、8、11、12、14、15,119.98125,25.966351,0836-89388,連江縣莒光鄉福正村1號,"No.1,Fuzheng Village, Juguang Township, Lianjiang County",00:00-24:00,每日開放,Open daily,https://www.matsu-nsa.gov.tw/Attraction-Content.aspx?a=2750&l=2,東莒福正沙灘,,,,,https://www.matsu-nsa.gov.tw/Attraction-Content.aspx?a=2750&l=2,,,,,,,2020-12-22
磯崎海濱遊憩區,Jiqi Beach Recreation Area ,衝浪與划獨木舟的遊客讓磯崎海灘總是充滿笑聲與活力。 ,Surfing and Kayaking make Isozaki Beach always full of laughter and vitality. ,"18,19,27","1,2,5,7,8,9,10,12,15,16",121.549804,23.700526,886-3-8671326,花蓮縣豐濱鄉磯崎6-1號,"No. 6-1, Jiqi, Fengbin Township, Hualien County ",目前休園,,,https://www.eastcoast-nsa.gov.tw/image/28964/1024x768,磯崎海濱遊憩區,Jiqi Beach Recreation Area ,,,,https://www.eastcoast-nsa.gov.tw/zh-tw/attractions/detail/6,,,,,,"https://www.google.com.tw/maps/place/%E7%A3%AF%E5%B4%8E%E6%B5%B7%E6%B0%B4%E6%B5%B4%E5%A0%B4/@23.6984001,121.5485133,16.75z/data=!4m13!1m7!3m6!1s0x3468abeff1d6a907:0x61ef569046a83910!2z56Ov5bSO5rW35rC05rW05aC0!3b1!8m2!3d23.7002567!4d121.549968!3m4!1s0x3468abeff1d6a907:0x61ef569046a83910!8m2!3d23.7002567!4d121.549968?hl=zh-TW",2020-12-22
石梯坪遊憩區,Shitiping Recreation Area ,石梯坪擁有經風力和海水雕刻而成的特殊岩岸風景，潮間帶上豐富的自然生態資源，適合從事潛水和獨木舟活動。,Shihtiping has a special rocky shore landscape carved by wind and sea water. Suitable for diving and kayaking activities.,"18,19,24,27","1,2,5,6,8,9,12,15",121.508384,23.490832,886-3-8781452,花蓮縣豐濱鄉石梯坪52號,"No. 52, Shitiping, Fengbin Township, Hualien County",00:00-24:00,,,https://www.eastcoast-nsa.gov.tw/image/28702/1024x768,石梯坪遊憩區,Shitiping Recreation Area ,,,,https://www.eastcoast-nsa.gov.tw/zh-tw/attractions/detail/12,"大型車：假日200元、非假日170元
小型車：假日60元、非假日50元
機車：假日20元、非假日15元",,,,,"https://www.google.com.tw/maps/place/%E7%9F%B3%E6%A2%AF%E5%9D%AA%E9%81%8A%E6%86%A9%E9%A2%A8%E6%99%AF%E5%8D%80/@23.4910962,121.5084469,18.5z/data=!4m5!3m4!1s0x346f505b19a23f2b:0xbf6923cdc9ee1c12!8m2!3d23.49139!4d121.508851?hl=zh-TW",2020-12-22
秀姑巒溪,Xiuguluan River ,全長約104公里的秀姑巒溪源自中央山脈，是東部第一大溪，切穿海岸山脈一路奔流入海，是橡皮艇泛舟的熱門去處。 ,The 104-kilometer Xiuguluan River originates from the Central Mountain Range and is the largest stream in the east. It has become a popular destination for boating in Taiwan.,"1,27","1,2,5,6,8,9,11,12,14,15",121.418183,23.491002,886-3-8875400 ,花蓮縣瑞穗鄉中山路三段215號,"No. 215, Sec. 3, Zhongshan Rd., Ruisui Township, Hualien County ",00:00-24:00,,,https://www.eastcoast-nsa.gov.tw/image/28976/1024x768,秀姑巒溪,Xiuguluan River ,,,,https://www.eastcoast-nsa.gov.tw/zh-tw/attractions/detail/13,公定之泛舟收費標準為750元/人 ,,,,,"https://www.google.com/maps/place/%E7%A7%80%E5%A7%91%E5%B7%92%E6%BA%AA%E9%81%8A%E5%AE%A2%E4%B8%AD%E5%BF%83/@23.4825686,121.4118108,8202m/data=!3m1!1e3!4m5!3m4!1s0x346f457f738dc6fb:0x6765430406565b87!8m2!3d23.4878928!4d121.4010781?hl=zh-TW",2020-12-22
三仙台,Sanxiantai,位於台東縣成功鎮東北方的三仙台，是由離岸小島和珊瑚礁海岸所構成，附近海域適合從事潛水、獨木舟活動。 ,"Sanxiantai, located in the northeast of Chenggong Township, Taitung County, is composed of offshore islands and coral reef coasts. Suitable for diving and kayaking activities. ","1,16,17,18,21,27","1,2,5,6,8,11,12,14,15",121.408382,23.123542,886-89-854097,臺東縣成功鎮基翬路74號,"No. 74, Jihui Rd., Chenggong Township, Taitung County ",00:00-24:00,,,https://www.eastcoast-nsa.gov.tw/image/28719/1024x768,三仙台,Sanxiantai (Jihui Sea Area) ,,,,https://www.eastcoast-nsa.gov.tw/zh-tw/attractions/detail/41,大型車：假日200元、非假日170元；小型車：假日60元、非假日50元；機車：假日20元、非假日15元 ,,,,,"https://www.google.com/maps/place/%E5%9F%BA%E7%BF%AC%E6%BC%81%E6%B8%AF/@23.1170593,121.3970321,967m/data=!3m1!1e3!4m8!1m2!2m1!1z5LiJ5LuZ5Y-w!3m4!1s0x346f71ada69ed3cf:0x44a59f0dec389d5c!8m2!3d23.1175413!4d121.3967056?hl=zh-TW",2020-12-22
金樽海港週邊海域,Jinzun Fishery Harbor Area,適合衝浪，舉辦臺灣國際衝浪公開賽的地方。,"Suitable for surfing,where conducting Taiwan Open of Surfing.","16,18,27","2,15,16",121.295169,22.956738,886-89-326141,臺東縣東河鄉金樽產業道路80號,"No. 80, Jinzun, Donghe Township, Taitung County ",00:00-24:00,,,https://www.eastcoast-nsa.gov.tw/image/28913/1024x768,金樽海港週邊海域,Jinzun Fishery Harbor Area,,,,https://www.eastcoast-nsa.gov.tw/zh-tw/attractions/detail/16,,,,,,"https://www.google.com/maps/place/22%C2%B056'42.4%22N+121%C2%B016'47.1%22E/@22.9555766,121.2945558,433m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d22.9451!4d121.27975?hl=zh-TW",2020-12-22
