CName,EName,CToldescribe,EToldescribe,CoastalActivities,Amenities,Px,Py,Tel,CAdd,EAdd,Opentime,OpenremarkC,OpenremarkE,Picture1,Picdescribe1C,Picdescribe1E,Picture2,Picdescribe2C,Picdescribe2E,Website,Ticketinfo,Remarks,Facebook,Twitter,Video,MapLink,Changtime
柴口潛水區,Chaikou Diving Area ,柴口十分適合新手來體驗浮潛，也是每年6-8月強勁的西南風吹臨綠島時，位在避風面的柴口是絕佳浮潛區。 ,"Chaikou is not only suitable for novices to experience snorkeling, but it is also located on the sheltered side when the strong southwest wind hits the Green Island from June to August every year. ","12,18,20,21,22,23,27","2,15",121.482917,22.676566,886-89-672026,綠島環島公路2K處,The Green Island round-the-island highway 2k,00:00-24:00,,,https://www.eastcoast-nsa.gov.tw/image/29047/1024x768,柴口潛水區,Chaikou Diving Area ,,,,https://www.eastcoast-nsa.gov.tw/zh-tw/attractions/detail/167,,,,,,"https://www.google.com.tw/maps/place/%E6%9F%B4%E5%8F%A3%E6%B5%AE%E6%BD%9B%E5%8D%80/@22.6765947,121.4825547,258m/data=!3m1!1e3!4m13!1m7!3m6!1s0x0:0x0!2zMjLCsDQwJzQwLjUiTiAxMjHCsDI4JzU4LjAiRQ!3b1!8m2!3d22.67792!4d121.48278!3m4!1s0x346f8db0fff41a1f:0x30880968a257b4cf!8m2!3d22.6766435!4d121.4828762",2020-12-22
大白沙潛水區,Dabaisha Diving Area ,大白沙沙灘位在綠島南端突出的西南角，是綠島著名的浮潛地點之一，也是綠島最大、最美麗的沙岸。,"Located at the southwestern corner of the southern end of Green Island, Dabaisha Beach is one of the famous snorkeling spots on Green Island. It is also the largest and most beautiful sandy shore on Green Island. ","12,18,20,21,22,23,27","1,15",121.493491,22.639571,886-89-672026,綠島環島公路13.5K處,The Green Island round-the-island highway 13.5k,00:00-24:00,,,https://www.eastcoast-nsa.gov.tw/image/413/1024x768,大白沙潛水區,Dabaisha Diving Area ,,,,https://www.eastcoast-nsa.gov.tw/zh-tw/attractions/detail/67,,,,,,"https://www.google.com/maps/place/%E5%A4%A7%E7%99%BD%E6%B2%99%E5%81%9C%E8%BB%8A%E5%A0%B4/@22.6391428,121.4936883,307m/data=!3m1!1e3!4m13!1m7!3m6!1s0x0:0x0!2zMjLCsDM4JzE0LjAiTiAxMjHCsDI5JzM3LjkiRQ!3b1!8m2!3d22.63722!4d121.49385!3m4!1s0x346f8cdfeb0ef1bf:0xb4012037218e1775!8m2!3d22.6395254!4d121.4934964?hl=zh-TW",2020-12-22
石朗潛水區,Shilang Diving Area  ,石朗附近有太平洋黑潮北流通過，潮流比起大白沙要穩定，周邊有著多樣的環狀珊瑚礁，以及各種魚群，有著海底公園的美名，是國際級的潛水天堂，也是綠島最知名、最便利的浮潛地點。 ,"Near Shilang, the Pacific Ocean Kuroshio flows northward. The tide is more stable than Dabaisha. There are various coral reefs and various fish schools around Shilang. It has the reputation of an underwater park. It is an international diving paradise and the most famous Green Island. , The most convenient snorkeling place. ","12,18,20,21,22,23,27","1,15",121.474822,22.655324,886-89-672026,綠島環島公路17K處,The Green Island round-the-island highway 17k,00:00-24:00,,,https://www.eastcoast-nsa.gov.tw/image/29015/1024x768,石朗潛水區,Shilang Diving Area  ,,,,https://www.eastcoast-nsa.gov.tw/zh-tw/attractions/detail/66,,,,,,"https://www.google.com/maps/place/22%C2%B039'21.0%22N+121%C2%B028'28.3%22E/@22.6551463,121.4749565,153m/data=!3m1!1e3!4m5!3m4!1s0x0:0x0!8m2!3d22.65583!4d121.47453?hl=zh-TW",2020-12-22
白沙灣,Baisha Bay,白沙灣為一座綿延約1公里的潔白貝殼沙灘，這座由麟山鼻與富貴角共同合抱而成的半月形天然海灣，在碧海藍天的映照下，令人心曠神怡。 輕輕漫步在沙灘上，會為了眼前的蔚藍海色不捨離去，更因為能坐擁一灣細緻的貝殼沙而流連忘返，還有被白浪捲帶上岸的珊瑚礁和貝殼，在歷經長期不斷的沖刷擊碎之後，終成人們握在手中的浪漫與眷戀。一旦風起時，掌中的細沙就急著起舞，它們將依循著強勁海風的吹拂，堆疊出整齊美麗的波浪狀細紋-「砂紋」景象，大自然獨特的藝術品讓人驚嘆不已。,"Baisha Bay is a white shell beach extending as long as 1 kilometer. Embraced by Linshan and Fugui Capes, the crescent-shaped natural bay gives a relaxing feel under the blue sky by the sea.

Every summer, all sorts of water activities are held here. Visitors can swim, fish, sail, dive, and surf - these are all highly popular. Well-equipped shower rooms are available upon paying a small fee. The bay is a great summer destination in northern Taiwan. At Baisha Bay Visitor Center, detailed ecological tourist information is available. Feel free to make travel inquiries or watch a multimedia screening there.","1,12,15,16,26","1,2,3,4,5,6,8,11,12,13,14,15,16,18"," 121°31'08.2""E","25°17'02.9""N",02-8635-5100,新北市石門區德茂里下員坑33-6號,"Xiayuankeng, Demaocun, Shimen District, New Taipei City(Provincial Highway No.2 23 km)","五、六、十月：09:00-17:00
七、八、九月：09:00-18:00",,,https://www.northguan-nsa.gov.tw/user/Article.aspx?Lang=1&SNo=04002491,白沙灣一景,view of Baisha Bay,,,,,,,,,,,
淺水灣,Qianshui Bay,沿著淡金公路從淡水方向進入三芝不久，約於台2縣16公里處即可到達淺水灣，是北海岸著名的海濱美景。淺水灣的海岸線同時具有岩岸與沙灣的特質，左半邊為岩岸，有許多突出的巨岩；右半邊為沙灘，由長時間沉澱而成的藻礁地形和半月形的沙灘組合而成，是為淺水灣的一大特色。海岸不遠處有一片礁石區，許多遊客會到沙灘上逐浪拾貝，漫步在寬闊平直的米白色沙灘上既浪漫又愜意。若是想要感受海風吹拂的恣意，也可騎著腳踏車來淺水灣自行車木棧道體驗風吹草舞的自然韻律，令人心曠神怡。,"A famous tourist attraction of the North Coast, Qianshui Bay is interestingly made up of a rock coast and a sand bay. On its left-hand side is the rock coast with many protruding stones. On its right-hand side is a crescent-shaped beach and time-tested algae-reef formations. At the coral reef zone near the rock coast, visitors like to chase waves and pick shells there. And the bay’s beige sand beach feels romantic and carefree. If you want to be caressed by ocean winds, ride a bike along the bay’s wooded trail and move with nature’s rhythm. A refreshing, soothing experience this is!","1,12,26","1,2,3,4,5,6,12,15,16"," 121°28'11.5""E","25°15'05.0""N",02-8635-5100,新北市三芝區淡金公路(2號省道)14.5-16.5公里處,"Danjin Highway, Sanzhi District, New Taipei City (Provincial Highway No.2 14.5 km -16.5km)",全年無休,,,https://www.northguan-nsa.gov.tw/user/article.aspx?Lang=1&SNo=04002470,淺水灣一景,view of Qianshui Bay,,,,,,,,,,,
中角灣,Jhongjiao Bay,有著灣口內凹的沙岸地形，加上四季北風掀起一波波漂亮的超高浪花，讓位於台 2 線 39 公里處的中角灣，成為北海岸最知名的衝浪天堂。這個絕佳的衝浪地點，每到假日總是聚集許多衝浪客，在海面上乘風逐浪。這裡也有多家俱樂部提供浪板租借與教學，不管你是初學者或是進階者，都能在這片沙灘找到衝浪的快感。新成立的中角灣國際衝浪基地，提供訓練中心與遊客服務，成為國際級的衝浪勝地。除了熱愛衝浪的好手可以在此挑戰自我，由於中角灣的沙灘質地較細，少有小石子，再加上有較大範圍的淺灘區，所以也十分適合孩童在此戲水玩樂。,"Zhongjiao Bay is the most famous surfing site in the North Coast. On weekends and holidays, the bay is filled with surfers chasing waves on the sea. Plenty of the surfing clubs here provide surfing board rentals and surfing classes. No matter you are a beginner or an advanced surfer, you can enjoy surfing here. In fact, an international surfing base will be established soon at Zhongjiao Bay, providing surfing training and tourist services. The goal is to make Zhongjiao world famous for surfing. Zhongjiao is not only ideal for surfers seeking to improve themselves. Since the bay’s sands are soft and fine, and the beach here is vast and shallow, Zhongjiao is also perfect for kids to have fun.","16,26","1,2,3,4,5,6,8,12,15,16,18"," 121°37'56.5""E","25°14'22.2""N",02-2408-2319,新北市金山區萬壽里海興路180之3號,"No. 180-3, Haixing Rd., Jinshan Dist., New Taipei City",全年無休,,,https://www.northguan-nsa.gov.tw/user/article.aspx?Lang=1&SNo=04002742,中角灣一景,view of Jhongjiao Bay,,,,,,,,,,,
龍洞灣海洋公園,Longdong Bay Ocean Park,炎炎夏日想帶全家大小親近海洋、消暑玩樂，這裡再適合不過了！園內的海洋戲水區及兒童水世界是直接抽取海水，是愛好玩水者和小朋友的天堂，可以在此戲水游泳、獨木舟及潛水，而清澈的海灣內有近百種魚類，可趁此機會和魚兒近距離接觸，徜徉於大海的溫柔懷抱；也可以到海景咖啡屋坐坐，一邊品嚐美食小點及香濃咖啡，一邊眺望龍洞灣美麗海景，遠離都市喧鬧，享受愜意；又或者也可藉東北角這片瑰麗海岸，到地質解說教室和海濱生態教室來場戶外生態學習之旅，一覽豐富的地質景觀，探索多樣的潮間帶生態，和小朋友一起尋寶探險，發掘大海的美好。,"If you feel like getting close to oceans and have some watery fun with family, this is the place to go! The water activity area and the “world of waters” for children use real ocean water. Visitors can go swimming, canoeing, and scuba diving right at the park, without having to go to a sea. At the bay, nearly a hundred fish species can be found – why not take this opportunity to play with fish! At the park’s scenic café, delicious desserts and aromatic coffee are served, as accompanied by relaxing views of Longdong Bay. Visitors may also go to the geology classroom or the coastal ecology classroom to register for outdoor guided tours, appreciating the area’s geological wonders while appreciating its diversified intertidal zone ecology.  Parents are encouraged to take oceanic adventures here with their kids.","12,20,21","1,2,3,4,5,6,8,12,14,15,16","121°55'03.5""E","25°07'05.5""N ",886-2-24909258,新北市貢寮區龍洞街(臺二線85公里處),"Longdong Street, Gongliao District, New Taipei City (85k, Provincial Highway 2)",08:00-17:00,,,https://www.necoast-nsa.gov.tw/Attraction-Content.aspx?a=184&l=1&area=&cat=&q=&p=1&listid=106&fromCnt=0#lg=s0&slide=0,,,,,,https://www.necoast-nsa.gov.tw/Attraction-Content.aspx?a=184&l=1&area=&cat=&q=&p=1&listid=106&fromCnt=0,,"1.本園區屬生態復育區，請勿攜帶撈網及捕撈用具進入園區。
2.下水前請務必評估自身身體況，並注意戲水安全。
3.東北季風盛行期間(10月~3月)，易有長浪發生，為維護安全，請勿前往海邊進行相關遊憩活動，造成不便，敬請見諒。",,,,,2020-11-18
龍洞四季灣,Longdong Four Seasons Bay,"這裡充滿了浪漫、熱情的氣氛，純淨的白色建築在藍天碧海之間更顯夢幻，很有幸福感，海岸邊萬化變千的奇岩和綺麗景色，也吸引來自各地的旅遊玩家前來度假放鬆。一如這兒的名稱「四季灣」，四季皆有動人景致及不同玩法，春季時遠眺海洋中鯨豚遨遊的美姿，夏季體驗無邊際的海水泳池及出海船潛，秋季可上龍洞岬灣步道來趟知性樂活之旅，冬季時賞濤濤浪花，泡湯暖心也暖身。

由天然海蝕平台改建而成的海水泳池與大海相通，擁有全視野無敵海景，清澈可見底的海面下，色彩艷麗的魚群隨海流飄舞，還有豐富的藻類貝類及珊物類等，可深深感受到這片水域的原始及迷人，更棒的是這個玩樂天堂還有國內少見的寵物游池，歡迎帶毛小孩一起來清涼一夏！","The white building feels dreamlike, romantic and passionate. Featuring views of strange rocks and beautiful coasts, visitors from around the world come here to spend their holidays. The area’s scenery is awe-inspiring regardless of seasons, and fun can be enjoyed any time.  In the spring, whale and dolphin tours are available. In the summer, a swimming pool filled with real sea water, as well as sailing trips, are among the most popular options. In the autumn, a walk along Longdong Cape’s hiking trail is great. In the winter, hot spring baths and flower appreciation are ideal.

In particular, the swimming pool, adapted from a natural sea-corrosion platform and leading to the ocean, is not to be missed. It not only provides panoramic ocean views. Colorful fish, algae, shells and corals can easily be appreciated in the water. Visitors can even bring their “animal kids” to this pet-friendly pool, which is rare in Taiwan!","12,20,21,4","1,2,3,4,5,6,8,12,11,14,15,16","121°55'05.8""E","25°06'04.9""N ",886-2-24901000,新北市貢寮區和美街48號,"No. 48, Hemei Street, Gongliao District, New Taipei City",09:00-18:00 ,,,https://www.necoast-nsa.gov.tw/Attraction-Content.aspx?a=187&l=1&area=&cat=&q=&p=1&listid=106&fromCnt=0#lg=s0&slide=0,,,,,,https://www.necoast-nsa.gov.tw/Attraction-Content.aspx?a=187&l=1&area=&cat=&q=&p=1&listid=106&fromCnt=0,,"1.本園區屬生態復育區，請勿攜帶撈網及捕撈用具進入園區。
2.下水前請務必評估自身身體況，並注意戲水安全。
3.東北季風盛行期間(10月~3月)，易有長浪發生，為維護安全，請勿前往海邊進行相關遊憩活動，造成不便，敬請見諒。",,,,,2020-11-18
藍灣海濱遊憩園區,Blue Bay Coastal Leisure Area,"藍灣海濱遊憩園區的金色沙灘綿延3公里，迄於福隆的黃金海岸，因此最棒的玩法就是租台單車，沿著平穩易騎的濱海自行車道，觀賞途中東北角特有的沙丘植物和波光嶙嶙的雙溪河，經過龍門吊橋一覽開闊視野後，就會到達目的地。園區內應有盡有，大小朋友最愛的海水浴場，其石英沙沙質柔軟細緻；還有生態步道、不定期的活動特展、烤肉區餐飲部、手作體驗及各式景觀藝術等，玩沙雕沙之外更有多種玩樂選擇。

你很難不注意到那座佇立於海灘旁的「鹽寮抗日紀念碑」，靜靜地訴說過往歷史。1895年乙未戰爭時，鹽寮為日軍登陸首站，大舉進據展開殖民統治史，並於此興建登陸紀念碑，臺灣光復後曾遭民眾搗毀，1975年則利用原有之碑座改建為現今的抗日紀念碑，紀錄這段抗日史事。

除了感受歷史情懷，不能錯過的還有這裡取之於自然的地景藝術，以黃金海岸結合沙雕、漂流木、鐵件、竹材及風鈴等自然元素，創作出一個個故事，也讓園區充滿原住民元素及濃濃的南洋風，而如想休憩解渴，也可到風格與眾不同的藍灣咖啡坐坐，在古色古香的彷閩式建築中啜飲咖啡及輕食，吹吹海風，享受這裡靜謐的一切。","Extending as far as 3 kilometers, the golden beach of Blue Bay Coastal Leisure Area can be reached easily by bicycle via a coastal path of the Golden Coast of Fulong. Along the path, visitors can appreciate special sand-dune plants and Shuangxi River. After passing Longmen Suspension Bridge, the bay is right in sight. The area has everything to offer - a beach loved by young and old with fine soft quartz sands, ecological trails, a BBQ zone, and a DIY classroom, among others. Activities are held from time to time, aside from all sorts of land art.

In fact, the wonderful land art here brings together sand works, driftwood, iron objects, bamboos, and wind chimes, rendering the site with an artistic indigenous and southeast Asian atmosphere. At Blue Bay Cafe, visitors can enjoy ocean breezes and some relaxing moments, while sipping soft drinks.",26,"2,3,4,6,8,10,12,14,15,16","121°55'38.3""E","25°02'31.2""N ",886-2-24901966,"
新北市貢寮區研海街45號","No. 45, Yanhai Street, Gongliao District, New Taipei City","
09:00-17:00",,,"https://www.necoast-nsa.gov.tw/Attraction-Content.aspx?a=190&l=1&area=151&cat=60,61,171,172,173&q=&p=1&listid=106&fromCnt=0",,,,,,"https://www.necoast-nsa.gov.tw/Attraction-Content.aspx?a=190&l=1&area=151&cat=60,61,171,172,173&q=&p=1&listid=106&fromCnt=0",,,,,,,2020-11-18
福隆沙灘,Fulong Beach,"福隆沙灘，是個即使沒有去過也一定聽過的景點！你可能不知道的是，早在日據時代開始，他就已經是個相當知名的海水浴場，穿梭歷史百年後至今仍熱鬧非凡。雙溪河在此入海，使得這片金黃色沙灘被太平洋及雙溪河前後簇擁著，形成內河外海，獨一無二的雙重景觀，再加上一片湛藍海景，有黃金海岸之美譽。連接兩處的彎月型拱橋則有個很美的名字-「彩虹橋」，引領遊客前往這片夏日聖地，而除了碧海藍天的海灣風光，因這裡河面寬廣，水流平穩，無論是風帆、獨木舟或是衝浪等水上活動都非常適合，愛好水上運動的你千萬不要錯過。

夏天是這裡最精彩的季節，每年的「福隆國際沙雕藝術季」，邀請來自不同國家的沙雕藝術家在此精雕細琢，雕出座座令人嘆為觀止的藝術作品，適合全家大小一起共遊觀賞；接續則是貢寮國際海洋音樂祭，吸引國內外熱愛音樂、熱愛大海的人前來朝聖狂歡，可說是夏日最狂的海洋音樂祭典，也讓海水浴場充滿青春與活力！","Since the Japanese Occupation, Fulong has been a famous beach. And today, it is still a lively place. For their beautiful views, Fulong’s coasts are hailed as “golden coasts,” while its crescent-shaped bridge across the coasts is praised as the “rainbow bridge.” The river nearby is wide and smooth, suitable for sailing, canoeing and surfing.

For the annually-held Fulong International Sand Sculpture Festival, sand artists from around the world make fine sculptures on Fulong Beach. The artworks are awe-inspiring and visitors, young and old, are encouraged to appreciate them. HO-HAI-YAN Gongliao Rock Festival draws those passionately in love with music and oceans to take part, filling Fulong Beach with endless youthful energy.","12,16,2,1,26","1,2,3,4,5,6,8,10,12,11,14,15,16,","121°56'42.5""E","25°01'03.3""N ","
886-2-24992381",新北市貢寮區福隆里福隆街40號,"No. 40, Xinglong Street, Fulong Neighborhood, Gongliao District, New Taipei City",依福隆海水浴場官網公布為準,,"
Please visit the official website. https://www.fullon-hotels.com.tw/fl/tw/fac-detail/fullonbeach/","https://www.necoast-nsa.gov.tw/Attraction-Content.aspx?a=193&l=1&area=&cat=60,61,171,172,173&q=&p=2&listid=106&fromCnt=0",,,,,,"https://www.necoast-nsa.gov.tw/Attraction-Content.aspx?a=193&l=1&area=&cat=60,61,171,172,173&q=&p=2&listid=106&fromCnt=0",,,,,,,2020-11-18
外澳服務區,Wai’ao Service Area,"炎炎夏日，想來趟消暑的沙灘戲水行，不妨來到外澳服務區，這棟看起來像飛行傘，也像一艘大船的鮮黃色建築是由名建築師姚仁喜設計，極富現代感的外觀具有多重意象，歡迎發揮你的想像力，親身體會這棟建築的特別。

黃色外牆襯著藍天大海，正對著龜山島，獨擁一片沙灘，還有蔚藍的海堤步道，每當晨昏陽光落在海面，遊客嬉戲的剪影映入眼簾，與龜山朝日、烏龜戴帽的美景相映成趣。除了有絕美風景外，外澳沙灘也是衝浪客聖地，沙灘旁有店家提供衝浪教學，新手也可享受在浪花奔馳的快感，還有香蕉船等刺激的水上活動；附近山頂上則有飛行傘基地，坐上飛行傘升上天空後可俯視整個外澳的海岸線，美麗又壯觀，這裡豐富的陸海空三域活動吸引許多遊客來冒險挑戰。

服務區內貼心設有免費的沖腳區以及付費的淋浴區，室內9號咖啡館更提供咖啡、餐飲小點和借問站服務，大片落地窗可遠望太平洋濱海美景及龜嶼佳景，號稱是離海邊最近的咖啡館，旅人們在戲水嬉遊後可以到此飽食賞景，休憩放鬆身心。","Designed by renowned architect Kris Yao, the yellow building looks like a parachute and a big boat. Its modern exterior has many interesting meanings. And the service area not only boasts impressive natural views but also serves as an ideal surfing site. Beachside shops provide surfing coaching sessions - even newbies can enjoy surfing this way. Other exciting activities such as banana boating are also available. At hilltop, there is a paragliding base. Paragliders can immerse in a mesmerising, magnificent birds-eye-view of Wai’ao in mid air. The many air, land and water activities have attracted adventurous visitors here.

In the service area, there are free feet-washing facilities to use, and payable shower rooms. Cafe No. 9 serves coffee and snacks, with tourist information services. Outside the large French windows are the Pacific Ocean and Guishan Island. Cafe No. 9 is said to be the cafe that’s closest to the ocean!","16,12","1,2,3,4,8,12,14,15,16"," 121°50'29.4""E","24°52'40.9""N",886-3-9789799,"
宜蘭縣頭城鎮濱海路二段6號","No. 6, Sec. 2, Binhai Road, Toucheng Township, Yilan County","
平日10:00-1830 周末0900-2000",,Weekdays：10:00-18:30 / Weekend：09:00-20:00,"https://www.necoast-nsa.gov.tw/Attraction-Content.aspx?a=277&l=1&area=160&cat=60,61,171,172,173&q=&p=1&listid=106&fromCnt=0",,,,,,"https://www.necoast-nsa.gov.tw/Attraction-Content.aspx?a=277&l=1&area=160&cat=60,61,171,172,173&q=&p=1&listid=106&fromCnt=0",,,,,,,2020-11-18
內埤沙灘,Neipi Beach ,"來到南方澳，你可能知道一定要吃生猛的海鮮美味，也可能知道要一覽港灣美景，但可能不知道漁港附近還有一處浪漫美麗的情人灣，藍天白雲之下的遼闊汪洋和閃亮沙灘，是情人甜蜜約會的海灣秘境．

南方澳人口中的「內埤仔」，又稱情人灣、內埤漁港，漁港外側以沙丘堤岸與太平洋相隔，面對太平洋的沙丘，就是景觀優美的「內埤海灘」，山海相鄰的沙灘是賞海聽濤的絕佳據點。

這裡的地形背山面海，水質清澈，景色怡人，雖然沒有其他沙灘的交通地利之便，人潮較稀少，但也多了份恬靜舒適，運氣好的話甚至還可獨享整片海灘，享受這片清麗的海濱風景，但要特別注意的是，海面有時看似平靜實則暗潮洶湧，不適合戲水踏浪，來此遊玩時應更加小心！儘管如此，山光水色的美景和大片沙灘仍是不可錯過，還有旭日東昇時的晨彩風光，也是許多攝影迷前來朝聖拍攝的日出聖地。建議可安排一趟蘇澳之旅，一遊蘇澳名景-冷泉公園和白米木屐村、南方澳大吃海鮮料理，也別忘了來到浪漫秘境-內埤海灘，盡享海色天光之美！","Neipi Beach is a perfect place for watching the seas and listening to ocean waves. All year round, fish come to this area to rest and eat, making it a favorite spot for fans of fishing. It is also an off-the-beaten-track place for dating. Boasting a vast ocean and a shiny beach under a blue sky and white clouds, Neipi Beach is failed as “the lovers’ bay.”

Not that many visitors have heard about this place so far, and thus the beach feels rather calm and comfy. If you are lucky, you can even enjoy the whole beach on your own! But please be reminded that, while the sea here seems peaceful, it actually has lurking strong waves. This area is therefore not fit for water activities. Do stay safe when visiting here! Even so, beautiful views and extending sands make Neipi Beach a must-visit. Its colorful sunrise scenery has drawn many to take photos here.","1,立式划槳、風箏衝浪","2,3,4,5,6,12,14,15","24°34'36.5""N 121°52'10.7""E",,"
886-3-9973421","
宜蘭縣蘇澳鎮內埤路(北濱公園旁)",,10:00-16:00,,,"https://www.necoast-nsa.gov.tw/Attraction-Content.aspx?a=300&l=1&area=166&cat=60,61,171,172,173&q=&p=1&listid=106&fromCnt=0",,,,,,"https://www.necoast-nsa.gov.tw/Attraction-Content.aspx?a=300&l=1&area=166&cat=60,61,171,172,173&q=&p=1&listid=106&fromCnt=0",,,,,,,2020-11-18
